project_id,text,simple_md5,sector,purpose,act_code1,act_code2,act_code3,act_code4,act_code5,act_code6,act_code7,act_code8,act_code9,act_code10,act_code11,act_code12,act_code13,act_code14,act_code15,act_code16,act_code17,act_code18,act_code19,act_code20,act_code21,act_code22,act_code23,act_code24,act_code25,act_code26,act_code27,act_code28,act_code29,act_code30,act_code31,act_code32,act_code33
117574291,"Access to Quality Education in Bihar / AccíÂs íæ une í©ducation de qualití© íæ Bihar Canada ACCESS TO QUALITY EDUCATION IN BIHAR / ACCí_S íó UNE í_DUCATION DE QUALITí_ íó BIHAR The project's objective is to transform the lives of 17,830 disadvantaged and marginalized children in poor neighbourhoods in three districts of the state of Bihar, India, by improving access to and quality of education. The project provides training and mentoring in child-centred teaching methods to teachers at preschool and primary levels. It also provides training and mentoring to village education committees and school management committees to help them better manage community schools. The project builds upon significant gains achieved through a network of neighbourhood-level learning support centres that provide after-school support to preschool and primary school children. The project is implemented by Aga Khan Foundation Canada in partnership with Aga Khan Foundation India and Aga Khan Rural Support Program. During the first year a local Patna based education and child rights focused non-government organisation, Nidan, is also helping to implement the project. / Le projet vise íæ changer la vie de 17.830 enfants dí©favorisí©s et marginalisí©s dans des quartiers pauvres dans trois districts de l'í_tat du Bihar, en Inde, en amí©liorant l'accíÂs et la qualití© de l'í©ducation. Le projet comprend de la formation et du mentorat en mí©thodes d'enseignement axí©es sur l'enfant pour les enseignants aux niveaux prí©scolaire et primaire. Le projet comprend aussi de la formation et du mentorat pour les comití©s d'í©ducation villageois et les comití©s de gestion des í©coles afin d'amí©liorer la gestion des í©coles communautaires. Le projet s'appuie sur les gains importants rí©alisí©s dans le cadre d'un rí©seau de centres communautaires de soutien íæ l'apprentissage qui apportent un appui parascolaire aux enfants de niveau prí©scolaire et primaire. Le projet est mis en oeuvre par la Fondation Aga Khan Canada en partenariat avec la Fondation Aga Khan en Inde et le Aga Khan Rural Support Program. Pendant la premiíÂre anní©e, Nidan, une organisation non gouvernementale locale de Patna d'í©ducation et de protection des droits de l'enfant, aide aussi íæ mettre en oeuvre le projet.",55e66d33f50355f9eeb5de000c50c77d,110,11000,11105.01,11330.01,16010.05,43081.01,91010.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417709,"Education Development Capacity Building Project World Bank - International Development Association (IDA) Education (General education sector): 55, Education (Primary education): 25, Health and other social services (Health): 10, Public Administration, Law, and Justice (General public administration sector): 10 The objective of the Education Development Capacity Building Project is to: (i) increase the efficiency and equity of primary and secondary education, with a focus on the disadvantaged areas (ZEP); and (ii) improve the relevance of secondary and higher education to the needs of the economy. The project consists of the following four components; Component 1) will improve the administrative management of the education system through improvements in administrative management and controls, personnel management and planning. Component 2) will improve pedagogic management in order to make the teaching and learning process more efficient. Component 3) aims at increasing the demand for primary education and promoting gender equity in the Adamawa, Far-North, East, and North provinces. Component 4) will raise the overall quality and relevance of teaching, research and professional development by improving the system's ability to internally generate a critical mass of high quality academics, researchers and professionals, particularly in disciplines critical to the country's development.",0ebf696e7a0e600a37105ba72d1685f4,110,11000,11110.01,11120.04,11130.01,11220.01,11220.02,11220.06,11320.02,11320.07,,,,,,,,,,,,,,,,,,,,,,,,,
2417329,"Education Sector Investment Program II World Bank - International Development Association (IDA) Education (Primary education): 34, Education (Secondary education): 22, Education (Vocational training): 21, Education (Tertiary education): 18, Public Administration, Law, and Justice (General public administration sector): 5 The Second Education Sector Investment Program for Mali aims to increase the proportion o f Malian children completing a quality first cycle o f basic education and improve the overall efficiency of resources used in the education sector. The proposed three-year project will: (1) improve the quality of basic education; (2) increase access to education; and (3) strengthen institutional management capacities in education sector and program coordination management. The three-year project has three components: 1. Improving the quality of basic education through: (a)establishing reading areas in about 25 percent of classrooms in the first cycle of basic education and equipping of libraries in 5 Teacher Training Institutes; (b) implementing the Direct Support to Improve School Productivity scheme to purchase school supplies; and (c) supporting certification of about 3,000 community school teachers by providing a 60-day in-service training and providing a 60-day accelerated training for about 1,800 new teachers; 2. Increasing access to education through: (a) building schools in the first and second cycles of basic education (970 classrooms); (b) building and equipping a general secondary school (for about 600 students); and (c) supporting apprenticeship programs in key areas of youth employment; and 3. Strengthening institutional management capacities in the education sector and program coordination, especially in the following areas: (a) human resources management; (b) budgetary and financial management, and regulatory framework; (c) an Integrated Education Management Information System; and (d) program coordination and management, including carrying out Learning Assessments.",11cdee51cde8cea724d416030f9ed58f,110,11000,11110.01,11110.03,11220.03,11220.05,11220.06,11320.02,11320.03,11320.05,11320.07,11330.04,,,,,,,,,,,,,,,,,,,,,,,
2430791,"Education Reform for the Knowledge Economy II World Bank - International Bank for Reconstruction and Development (IBRD) Education (Secondary education): 35, Education (Primary education): 35, Education (Pre-primary education): 30 **Component 1: Establishment of a National School-based Development System**. The objective of this component is to establish a well functioning, school-based development process as the main vehicle to deliver to all young people of the Kingdom a quality education focused on developing the abilities, skills and attitudes associated with a knowledge based economy. The ERfKE II Project, building on the experience and achievements of ERfKE I, and guided by best practice internationally, will have as its strategic focus the delivery of improvement through local school development processes focused on improving student learning outcomes. Investment in the component will be used to develop the required procedural instruments and local and national structures, and to build the professional capacity within the system to use these instruments effectively and provide effective instructional leadership at the school level. Implementation will be phased in on the basis of a rigorous monitoring and evaluation to inform subsequent phases.Œæ**Component 2: Policy, Planning, M&E and Organizational Development**. The objective of Component 2 is to build upon ERfKE I investments related to policy, planning and M&E, and to ensure that outputs from these activities fully support and inform the adoption of a school centered approach to the delivery of education services.*Subcomponent 2.1 Policy Development, Strategic Planning, Monitoring and Evaluation*will include(i) establishment in the MOE of institutional capacity for policy, strategic planning and monitoring and evaluation,(ii) final implementation of the School Information System (SIS);(iii) linking the EMIS with the GIS and external databases; and(iv) development and implementation of a Monitoring and Evaluation (M&E) Framework for the program that will have an internal element, managed from within the MOE, and an external element, managed by the NCHRD with capacity-building and quality-assurance support through a partnership with an internationally renowned institution.*Sub-component 2.2, Organizational Development*is to support the transformation of the MOE organizational culture, structure and processes for greater accountability in governance and management, in order to ensure effective and efficient delivery of education services focused on the improvement of student learning outcomes. Starting from a systematic organizational review, ERfKE\02II interventions designed to achieve this objective will addressŒæ(i) organizational structures and functions; and,(ii) performance management of financial and human resources systems.Œæ**Component 3: Teaching and Learning Resources.** The objective of this component is to:(i) review and further develop teacher employment, utilization and professional development policies and practices; and,(ii) fine-tune curriculum and student assessment to ensure alignment with Knowledge Based Economy reforms continued from ERfKE I.*Sub-component 3.1 Teacher Policies, Training and Professional Development*includes the following range of specific interventions:(i) refinement of the teacher ranking system;(ii) accreditation of teachers using national professional standards aligned with regional and international standards;(iii) the development of Teacher Competencies and Performance Assessments based on the National Teacher Professional Standards and linked to Individual Professional Development Plans;(iv) the development of Standards for professional development programs;(v) a Trainer Development Program;(vi) the development and provision of an On-line Professional Development Service for teachers;(vii) the development and provision of professional development programs for teachers linked to the use of assessment; and,(viii) the development of a QA system for the monitoring and evaluation of Training and Professional Development.Œæ*Subcomponent 3.2*will finance resources, training and technical assistance related to(i) review and where necessary revision of the curriculum, learning materials and teacher guides developed under ERfKE I;(ii) the development of a framework for long term continuing curriculum review;(iii) carrying out learning assessment activities at the classroom and national levels. (Support for NAfKE as well as for Jordan's participation in TIMSS and PISA will be covered under Sub-component 2.1.);(iv) introduction of benchmarking and item banking to improve the technical quality and information value of assessment activity, and related training;(v) provision of additional and replacement ICT equipment for schools(vi) ICT connectivity available in all schools to permit blended e-learning in at least core subject areas through local e-learning and on-line supplementary and enrichment resources;(vii) promoting greater equity in distribution of learning resources across Jordan.Œæ**Component 4: Special Focus Program Development**. The objective of this component is to improve inclusive access to learning for all children in Jordan through special focus on three critical subsectors: Early Childhood Education, Special Education and Vocational Education.*Sub-component 4.1: Early Childhood Development*will expand access and enhance the quality of the ECD program in order to maximize children's learning potential. The component will aim for greater equity in access to ECD, improved quality of programs and services, and increased parental and community involvement. The component consists of four areas of intervention:(i) increase institutional capacity;(ii) professional development of KG teachers;(iii) expansion of kindergartens for the poor;(iv) greater public awareness and understanding.Œæ*Sub-component 4.2: Vocational Education*will provide resources and technical assistance to restructure and realign the MOE secondary vocational education stream with all national policy, program, certification and accreditation initiatives currently being undertaken in the technical vocational education and training sector, guided by the E-TVET Council established under the National Agenda. Activities will include(i) reformulation of the policy and program framework in consultation with the ETVET Council;(ii) development of curriculum and learning resources;(iii) realignment of teacher competency profiles;(iv) rationalization, re-deployment, and procurement of tools and equipment; and,(v) facilitation of graduate employment aligned with labor market needs.Œæ*Sub-component 4.3: Special Education*will expand access to quality education programs and services relevant to students with special needs. This subcomponent consists of 5 areas of intervention:(i) review and updating of policies, regulations, procedures and practices;(ii) institutional development of central and field directorates;(iii) development and provision of quality learning programs, services and resources;(iv) teacher training and awareness raising;(v) updating and supply of facilities and equipment.Œæ**Component 5: Quality Physical Learning Environments**The objective of this component is improved provision of quality education facilities in a cost effective and sustainable manner so that students have access to environmentally friendly and efficiently operated quality physical learning environments. A detailed planning analysis has assessed the current situation regarding access to and utilization of physical facilities, and revealed the need for further substantial investment in construction and rehabilitation to reduce overcrowding and accommodating projected enrolment increases, while facilitating more efficient utilization of underutilized schools. This component has three sub-components:(i) Alignment of MOE standards with international design standards, and the requirement of education reform;(ii) construction of new schools and provision of extensions to existing schools; and(iii) establishing a maintenance and management system for school buildings.",16d9ef31406ff3b69cb83779c8d6ae62,110,11000,11110.01,11110.03,11110.04,11110.05,11110.06,11120.02,11120.05,11130.02,11130.03,11220.02,11220.06,11240.02,11330.02,11182.03,,,,,,,,,,,,,,,,,,,
104800371,"Education Partnership - Madrasah Accreditation Australia EDUCATION PARTNERSHIP - MADRASAH ACCREDITATION Australia's Education Partnership with Indonesia will deepen and extend the highly successful Basic Education Program and help Indonesia to ensure nine years of good quality education for its children. It will give more children good education, improve literacy and numeracy, and strengthen management across the sector. This partnership is part of a broader program of support to Indonesian education that also involves the European Union and the Government of Indonesia, the Indonesian Sector Support Program. Through the Partnership Australia will: - construct or expand up to 2000 more junior secondary schools and create approximately 300,000 new places for junior secondary school students; - work closely with the Indonesian Government to improve the quality of school management by developing and delivering training for all 293,000 of Indonesia's school principals, school supervisors and district education officials; - continue to support Islamic Education by helping around 1500 Islamic schools (Madrasah) to achieve accreditation against national education standards; and - work together with the European Union and the Asian Development Bank to support relevant, high quality and timely research and analysis that strengthens education policy. The total value of this initiative is $500.0 million over 6 years, starting 2010-11.",1de6d5b084aec39e349a3fcb57066415,110,11000,11110.01,11110.03,11120.01,11220.01,11230.03,11320.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418813,"Education System Realignment & Strengthening Program (APL #1) World Bank - International Development Association (IDA) Public Administration, Law, and Justice (Central government administration): 43, Education (Primary education): 16, Education (Secondary education): 16, Education (Tertiary education): 16, Public Administration, Law, and Justice (Sub-national government administration): 9 The Education System Realignment and Strengthening Program Project, will improve the quality, and relevance of primary, and general secondary learning outcomes, by better preparing students to meet the demands of a market economy within a democratic society. The project components will: 1) develop, and implement an outcome-based national curriculum for primary, and general secondary education, which should include the development of a national assessment/examinations system. Technical assistance (TA) will be provided to realign the national curriculum, and assessment system, to design, train, and develop teacher training materials, and, to improve textbook quality. Additionally, office equipment, resource centers, and materials to establish a textbook rental, and monitoring system will be financed; 2) strengthen the management capacity at central, and local levels, through the development, and implementation of policies to improve the financial, human, and physical resource management. TA, and training in education policy development, analysis and management, teacher incentives, education finance, and organizational development will be financed, and, office equipment, and furniture provided; and, 3) TA, and training will be financed to support project management, to include procurement, financial management and disbursement, and key software programs, such as financial accounting packages.",2e25b86bc2938681d4148396a5d47461,110,11000,11110.01,11120.02,11220.01,11220.05,11220.06,11320.01,11320.05,11320.07,,,,,,,,,,,,,,,,,,,,,,,,,
2419709,"GEN EDUC SUPPLMT World Bank - International Development Association (IDA) Education (Primary education): 42, Education (Secondary education): 42, Education (Tertiary education): 15, Public Administration, Law, and Justice (Central government administration): 1",3a5e40e50c85e5b57d964238b85ab1cf,110,11000,11110.01,11220.01,11320.01,11420.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076113,"Education Project African Development Fund (AFDF) The project aims at assisting in solving the shortage of teachers, infrastructure, equipment and teaching aids thereby improving the quality of education and increasing student intake. The main components of the project are development of higher education, rationalization of educational administrative services; strengthening of teaching aids production facilities; rehabilitation of agricultural education; and management of the project implementation unit. The project entails engineering design and supervision, civil works, equipment and supplies, furniture, technical assistance and training. The ADF loan will be used to finance the entire foreign exchange cost and 65 percent of the local cost of the project.",4568e4218dcf40cc4a41577c6fff9f2a,110,11000,11110.01,11120.01,11120.02,31181.01,11110.02,11420.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423942,EDUCATION I SUPPL. World Bank - International Development Association (IDA) Education ((Historic)Education adjustment): 100,ac0e033737bb1ffa9c96b6c6ccd33c29,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66889665,Instrument for Preaccession (IPA) Œ„ Human resources development European Communities (EC) INSTRUMENT FOR PREACCESSION (IPA) Œ„ HUMAN RESOURCES DEVELOPMENT Instrument for Preaccession (IPA) Œ„ Human resources development - User Reference : CCI 2007TR05IPO001 HUMAN RESOURCES DEVELOPMENT OP TURKEY_ IPA,acf7d2dc434dec17ccb66f0860a43799,111,11105,11105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
